Security Code,Issuer Name,Security Id,Tickers
500002,ABB India Limited,ABB,500002.BO
500003,Aegis Logistics Ltd.,AEGISLOG,500003.BO
500008,Amara Raja Energy & Mobility Limited,ARE&M,500008.BO
500009,Ambalal Sarabhai Enterprise Ltd.,AMBALALSA,500009.BO
500012,Andhra Petrochemicals Ltd.,ANDHRAPET,500012.BO
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,500013.BO
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,500014.BO
500016,Aruna Hotels Ltd.,ARUNAHTEL,500016.BO
500020,Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING,500020.BO
500023,Asian Hotels (North) Limited,ASIANHOTNR,500023.BO
500027,Atul Limited.,ATUL,500027.BO
500028,ATV Projects India Ltd,ATVPR,500028.BO
500031,Bajaj Electricals Ltd.,BAJAJELEC,500031.BO
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,500032.BO
500033,Force Motors Limited,FORCEMOT,500033.BO
500034,Bajaj Finance Limited,BAJFINANCE,500034.BO
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,500038.BO
500039,Banco Products (India) Ltd.,BANCOINDIA,500039.BO
500040,Century Textiles & Industries Ltd.,CENTURYTEX,500040.BO
500041,Bannari Amman Sugars Ltd.,BANARISUG,500041.BO
500042,BASF India Ltd,BASF,500042.BO
500043,Bata India Limited,BATAINDIA,500043.BO
500048,BEML Ltd,BEML,500048.BO
500049,Bharat Electronics Ltd.,BEL,500049.BO
500052,Bhansali Engineering Polymers Ltd.,BEPL,500052.BO
500058,Bihar Sponge Iron Ltd,BIHSPONG,500058.BO
500059,Binani Industries Limited,BINANIIND,500059.BO
500060,Birla Cable Limited,BIRLACABLE,500060.BO
500067,Blue Star Ltd,BLUESTARCO,500067.BO
500068,Disa India Ltd.,DISAQ,500068.BO
500069,QUEST CAPITAL MARKETS LIMITED,QUESTCAP,500069.BO
500074,BPL Ltd.,BPL,500074.BO
500078,ORIENTAL AROMATICS LIMITED,OAL,500078.BO
500083,Century Extrusions Ltd.,CENTEXT,500083.BO
500084,CESC Limited,CESC,500084.BO
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,500085.BO
500086,Exide Industries Ltd.,EXIDEIND,500086.BO
500087,Cipla Ltd.,CIPLA,500087.BO
500089,DIC India Ltd,DICIND,500089.BO
500092,CRISIL Ltd.,CRISIL,500092.BO
500093,CG Power and Industrial Solutions Limited,CGPOWER,500093.BO
500096,Dabur India Ltd.,DABUR,500096.BO
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,500097.BO
500101,Arvind Ltd.,ARVIND,500101.BO
500103,Bharat Heavy Electricals Ltd.,BHEL,500103.BO
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,500104.BO
500106,IFCI Ltd.,IFCI,500106.BO
500108,Mahanagar Telephone Nigam Ltd.,MTNL,500108.BO
500109,Mangalore Refinery & Petrochemicals,MRPL,500109.BO
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO,500110.BO
500112,State Bank Of India,SBIN,500112.BO
500113,Steel Authority of India Ltd.,SAIL,500113.BO
500114,Titan Company Limited,TITAN,500114.BO
500116,IDBI Bank Ltd,IDBI,500116.BO
500117,DCW Ltd.,DCW,500117.BO
500119,Dhampur Sugar Mills Ltd.,DHAMPURSUG,500119.BO
500120,Diamines & Chemicals Ltd.,DIAMINESQ,500120.BO
500123,Elantas Beck India Ltd,ELANTAS,500123.BO
500124,Dr. Reddy's Laboratories Ltd.,DRREDDY,500124.BO
500125,E.I.D. Parry (India) Ltd.,EIDPARRY,500125.BO
500126,PROCTER & GAMBLE HEALTH LIMITED,PGHL,500126.BO
500128,Electrosteel Castings Ltd.,ELECTCAST,500128.BO
500133,Esab India Ltd.,ESABINDIA,500133.BO
500135,EPL LIMITED,EPL,500135.BO
500136,Ester Industries Ltd.,ESTER,500136.BO
500142,FGP Ltd,FGP,500142.BO
500143,P.H. Capital Ltd.,PHCAP,500143.BO
500144,Finolex Cables Ltd.,FINCABLES,500144.BO
500147,JOHN COCKERILL INDIA LIMITED,COCKERILL,500147.BO
500148,Uflex Limited,UFLEX,500148.BO
500150,Foseco India Ltd,FOSECOIND,500150.BO
500151,Golden Tobacco Ltd.,GOLDENTOBC,500151.BO
500153,Ganesh Benzoplast Ltd.,GANESHBE,500153.BO
500159,Metroglobal Limited,METROGLOBL,500159.BO
500160,GTL Ltd,GTL,500160.BO
500163,Godfrey Phillips India Ltd.,GODFRYPHLP,500163.BO
500164,Godrej Industries Ltd.,GODREJIND,500164.BO
500165,Kansai Nerolac Paints,KANSAINER,500165.BO
500166,Goodricke Group Ltd.,GOODRICKE,500166.BO
500168,Goodyear India Ltd.,GOODYEAR,500168.BO
500170,GTN Industries Limited,GTNINDS,500170.BO
500171,GHCL Ltd.,GHCL,500171.BO
500173,GFL LIMITED,GFLLIMITED,500173.BO
500174,Gujarat Lease Financing Limited,GLFL,500174.BO
500179,HCL Infosystems Ltd,HCL-INSYS,500179.BO
500180,HDFC Bank Ltd.,HDFCBANK,500180.BO
500182,Hero MotoCorp Limited,HEROMOTOCO,500182.BO
500183,HFCL LIMITED,HFCL,500183.BO
500184,Himadri Speciality Chemical Ltd.,HSCL,500184.BO
500185,Hindustan Construction Co. Ltd.,HCC,500185.BO
500186,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,500186.BO
500187,AGI GREENPAC LIMITED,AGI,500187.BO
500188,Hindustan Zinc Ltd.,HINDZINC,500188.BO
500189,NDL Ventures Limited,NDLVENTURE,500189.BO
500191,HMT Limited,HMT,500191.BO
500192,Prag Bosimi Synthetics Ltd.,PRAGBOS,500192.BO
500193,HLV LIMITED,HLVLTD,500193.BO
500199,IG Petrochemicals Ltd,IGPL,500199.BO
500201,India Glycols Ltd,INDIAGLYCO,500201.BO
500202,India Lease Devl. Ltd.,INDLEASE,500202.BO
500206,Margo Finance Limited,MARGOFIN,500206.BO
